https://bettingtips1x2.com/images/flags/Ecuadorian.png,Ecuadorian Primera B,Imbabura SC - Chacaritas FC,1:2
https://bettingtips1x2.com/images/flags/United.png,United States USL League Two,St. Croix SC - Minneapolis City SC,0:3
https://bettingtips1x2.com/images/flags/United.png,United States USL League Two,Texas United - Little Rock Rangers,1:1
https://bettingtips1x2.com/images/flags/United.png,United States USL League Two,Round Rock SC - Corpus Christi FC,1:2
https://bettingtips1x2.com/images/flags/Brazilian.png,Brazilian Serie A,Cuiaba EC - Corinthians,0:2
https://bettingtips1x2.com/images/flags/Brazilian.png,Brazilian Serie B,CS Alagoano - Chapecoense SC,2:1
https://bettingtips1x2.com/images/flags/Brazilian.png,Brazilian Serie B,Gremio RS - Novorizontino SP,3:0
https://bettingtips1x2.com/images/flags/United.png,United States NWSL,Angel City FC W. - Houston Dash W.,0:2
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese League 1,Heilongjiang Lava Spring - Beijing Konggu,5:1
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese League 1,Sichuan Jiuniu FC - Xinjiang Tianshan,3:0
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese League 1,Nantong Zhiyun - Suzhou Dongwu,2:0
https://bettingtips1x2.com/images/flags/Aus..png,Aus. NPL Northern NSW,Lake Macquarie City - Maitland FC,0:2
https://bettingtips1x2.com/images/flags/Aus..png,Aus. NPL Northern NSW,Edgeworth FC - Cooks Hill United,1:0
https://bettingtips1x2.com/images/flags/Bangladesh.png,Bangladesh Premier League,Rahmatgonj MFS - Bashundhara Kings,0:5
https://bettingtips1x2.com/images/flags/Japanese.png,Japanese Cup,Sapporo - Toin University,3:1
https://bettingtips1x2.com/images/flags/Aus..png,Aus. NPL Northern NSW,Valentine FC - Charlestown City Blues FC,0:2
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese Super League,Henan Songshan Longmen - Shandong Taishan,1:2
https://bettingtips1x2.com/images/flags/Japanese.png,Japanese Cup,FC Tokyo - Fuji University,5:0
https://bettingtips1x2.com/images/flags/Japanese.png,Japanese Cup,Yokohama FC - Sony Sendai,1:1
https://bettingtips1x2.com/images/flags/S..png,S. Korean K-League Challenge,Seoul E-Land FC - Jeonnam Dragons,2:0
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese Super League,Shanghai Shenhua - Shanghai Port,1:2
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese Super League,Chengdu Qianbao - Beijing Guoan,1:3
https://bettingtips1x2.com/images/flags/Chinese.png,Chinese Super League,Dalian Pro - Guangzhou City,2:0
https://bettingtips1x2.com/images/flags/Toulon.png,Toulon Tournament,Ghana U20 - Saudi Arabia U20,2:1
https://bettingtips1x2.com/images/flags/AFC.png,AFC Championship U23,South Korea U23 - Thailand U23,2:0
https://bettingtips1x2.com/images/flags/AFC.png,AFC Championship U23,Vietnam U23 - Malaysia U23,4:0
https://bettingtips1x2.com/images/flags/Africa.png,Africa Cup of Nations Qual.,Uganda - Niger,2:0
