False,https://www.forebet.com/images/fc/br.png,Nova Iguaçu U20 - Fluminense U20,2,1.57,False,2 - 1
False,https://www.forebet.com/images/fc/ru.png,Krasava Odintsovo - FK Murom,2,-,True,2 - 3
False,https://www.forebet.com/images/fc/au.png,Bentleigh Greens - Melbourne Knights,1,1.80,True,2 - 1
False,https://www.forebet.com/images/fc/ru.png,Volna Nizhegorodskaya - FK Leningradets,2,-,True,0 - 6
False,https://www.forebet.com/images/fc/ru.png,FK Ryazan - SKA-Khabarovsk-2,X,-,False,2 - 0
False,https://www.forebet.com/images/fc/ru.png,Dinamo Vladivostok - Strogino Moscow,2,-,False,0 - 0
False,https://www.forebet.com/images/fc/kr.png,Changwon City - Gyeongju KHNP,X,3.40,False,0 - 2
False,https://www.forebet.com/images/fc/kr.png,Daejeon Korail - Pocheon FC,2,-,True,2 - 4
False,https://www.forebet.com/images/fc/au.png,Croydon Kings - N.E. MetroStars,2,2.70,True,0 - 4
False,https://www.forebet.com/images/fc/au.png,Peninsula Power - QLD Lions,2,2.30,False,1 - 1
False,https://www.forebet.com/images/fc/cd.png,Blessing - FC Renaissance (DRC),1,-,False,0 - 0
False,https://www.forebet.com/images/fc/au.png,Manly United - Sydney U21,1,1.95,False,0 - 0
False,https://www.forebet.com/images/fc/ru.png,FK Yenisey-2 - Dynamo Petersburg,2,-,False,0 - 0
False,https://www.forebet.com/images/fc/kr.png,Mokpo City - Cheongju FC,X,3.50,False,2 - 0
False,https://www.forebet.com/images/fc/cn.png,Nanjing Fengfan - Jiangxi Liansheng,1,1.57,False,1 - 1
False,https://www.forebet.com/images/fc/644.png,Canada - Curaçao,X,5.50,False,4 - 0
False,https://www.forebet.com/images/fc/co.png,Ind. Medellin - Envigado FC,1,1.55,True,2 - 1
False,https://www.forebet.com/images/fc/jm.png,Waterhouse FC - Harbour View,1,-,True,2 - 1
False,https://www.forebet.com/images/fc/644.png,Panama - Martinique,1,1.14,True,5 - 0
False,https://www.forebet.com/images/fc/ec.png,America de Quito - Independiente Juniors,1,2.25,True,4 - 0
False,https://www.forebet.com/images/fc/br.png,Ypiranga Clube/AP - Trem/AP,2,1.29,True,0 - 2
False,https://www.forebet.com/images/fc/co.png,La Equidad - Deportes Tolima,2,3.40,False,1 - 0
False,https://www.forebet.com/images/fc/ve.png,Deportivo Tachira - Aragua,1,1.80,True,2 - 0
False,https://www.forebet.com/images/fc/644.png,Antigua & Barbuda - Cuba,1,4.20,False,0 - 2
False,https://www.forebet.com/images/fc/br.png,Brasil Farroupilha - Gaúcho/RS,1,-,False,0 - 1
False,https://www.forebet.com/images/fc/br.png,EC Pelotas/RS - Inter Santa Maria/RS,X,3.00,False,2 - 0
